,normal_mean,silicosis_mean,normal_sd,silicosis_sd,P
HU_All,-838.75,-791.1166666666667,25.938143985891433,61.98883149314122,5.197776481957028e-07
HU_LUL,-844.1029411764706,-806.4,26.188974383890454,51.00598342182598,5.009945531262211e-06
HU_LLL,-820.2941176470588,-767.3166666666667,40.555493149300595,76.89989948127298,2.208315003954986e-05
HU_RUL,-847.0220588235294,-803.1166666666667,20.575023589244818,58.96443746070568,3.7186085422751837e-07
HU_RML,-855.4411764705883,-818.4833333333333,22.167531960552687,58.80629853277995,1.7194641568525223e-05
HU_RLL,-829.4044117647059,-768.15,33.06136959277863,77.16888666402747,2.858825617090082e-07
TF_All,0.15289037367876837,0.19796142578125,0.02459533902476765,0.05876816102585943,5.441094777134275e-07
TF_LUL,0.1477643181295956,0.183514404296875,0.024830588298950167,0.048344353545529045,4.982335136438022e-06
TF_LLL,0.1703320671530331,0.22058919270833333,0.03846765620105942,0.07289131523271998,2.1873066644479014e-05
TF_RUL,0.14496926700367646,0.18662923177083332,0.019477756581304455,0.05587238929479202,3.58366310546456e-07
TF_RML,0.13703828699448528,0.17203572591145833,0.021006527929772974,0.05576182832155586,1.7557787171016627e-05
TF_RLL,0.16168123133042278,0.21971028645833332,0.03136630884425406,0.07310958422488105,2.891318129579346e-07
HAA_All,0.12082986270680147,0.233746337890625,0.050877327138601075,0.13471335975606735,2.986578101645614e-08
HAA_LUL,0.11254164751838236,0.190069580078125,0.05105603034234863,0.0913817511297051,5.523424287318049e-07
HAA_LLL,0.15697165096507354,0.2959981282552083,0.09407625610126406,0.18665690310955563,3.7582732311452764e-06
HAA_RUL,0.10378893683938419,0.19968058268229166,0.034729599248810195,0.1118562552204891,4.8222336865313665e-09
HAA_RML,0.09244761747472427,0.17571818033854167,0.03524689172692312,0.12634929820818275,2.217909377137738e-06
HAA_RLL,0.13774782068589153,0.29742431640625,0.06956237540712795,0.19715599459824143,4.8741299949064206e-08
Emph_All,0.16232972986557903,0.14195838769276933,0.04841802979113181,0.14365535281032948,0.2974159151936414
Emph_LUL,0.17635210822610295,0.1517707904179891,0.052451995103212745,0.14906420257870326,0.23036275428835196
Emph_LLL,0.1354962517233456,0.12998275955518085,0.04932458195405687,0.13849475540135542,0.7719691267384241
Emph_RUL,0.1748354294720818,0.149522868792216,0.051638491351508664,0.15355429079760183,0.22603895852219727
Emph_RML,0.1864933687097886,0.16418348948160807,0.05484923233701868,0.15585645562236622,0.297373009912836
Emph_RLL,0.14633627498851104,0.1257466415564219,0.05099770504176696,0.13738957968847615,0.2813076752346632
